CORR (|r| < 0.5), ANOVA (Top 30%),FLAML (> 0.03),PSO,WOA
IO_Operations,Root_DIR_Access,IO_Operations,IO_Operations,IO_Operations
File_Operations,Home_DIR_Access,File_Operations,File_Operations,File_Operations
Network_Operations,User_DIR_Access,Time_Operations,Network_Operations,Network_Operations
Time_Operations,Other_DIR_Access,Process_Operations,Process_Operations,Process_Operations
Security_Operations,IO_Operations,Write_Processes,Read_Processes,Read_Data_Transfer
Process_Operations,File_Operations,Read_Data_Transfer,Write_Processes,Write_Data_Transfer
Read_Processes,Network_Operations,Local_Port_Access,Read_Data_Transfer,File_Access_Processes
Write_Processes,Read_Processes,Remote_Port_Access,Write_Data_Transfer,Total_Dependencies_List
Read_Data_Transfer,Write_Processes,Total_Dependencies,File_Access_Processes,Indirect_Dependencies_List
Write_Data_Transfer,Write_Data_Transfer,Direct_Dependencies,Total_Dependencies,Home_DIR_Access
File_Access_Processes,File_Access_Processes,Indirect_Dependencies,Root_DIR_Access,Local_IPs_Access
Total_Dependencies,Direct_Dependencies,Pattern_1,Temp_DIR_Access,Remote_IPs_Access
Direct_Dependencies,,Pattern_2,Home_DIR_Access,Local_Port_Access
Indirect_Dependencies,,Pattern_3,Local_Port_Access,Remote_Port_Access
Root_DIR_Access,,Pattern_4,Total_Dependencies,Total_Dependencies
Temp_DIR_Access,,Pattern_5,Pattern_2,Indirect_Dependencies
Sys_DIR_Access,,Pattern_6,Pattern_7,Pattern_1
State_Transition,,,Pattern_8,Pattern_2
Local_IPs_Access,,,Pattern_9,Pattern_5
Total_Dependencies,,,,Pattern_6
Pattern_1,,,,Pattern_7
Pattern_2,,,,Pattern_8
Pattern_3,,,,Pattern_9
Pattern_4,,,,Write_Processes
Pattern_5,,,,
Pattern_6,,,,
Pattern_7,,,,
Pattern_8,,,,
Pattern_9,,,,
Pattern_10,,,,
,,,,
Total = 30,Total = 12,Total = 17,Total = 19,Total = 24
