Package_Name,IO_Operations,File_Operations,Network_Operations,Time_Operations,Security_Operations,Process_Operations,Read_Processes,Write_Processes,Read_Data_Transfer,Write_Data_Transfer,File_Access_Processes,Total_Dependencies_List,Direct_Dependencies_List,Indirect_Dependencies_List,Root_DIR_Access,Temp_DIR_Access,Home_DIR_Access,User_DIR_Access,Sys_DIR_Access,Etc_DIR_Access,Other_DIR_Access,Local_IPs_Access,Remote_IPs_Access,Local_Port_Access,Remote_Port_Access,Total_Dependencies,Direct_Dependencies,Indirect_Dependencies,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Level
1337test-1.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,,"vfork, wait4, getpid","opensnoop-bpfcc, filetop-bpfcc, tcpstates-bpfcc, pgrep, gnome-system-mo","strace, opensnoop-bpfcc, StreamTrans, Classif~date, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, gnome-system-mo, tcpstates-bpfcc","StreamTrans, strace, Classif~date, pip, sqldb:c~lite","gnome-system-mo, pip, pgrep, sqldb:c~lite, StreamTrans",1337test-1; certifi-2024.8.30; charset-normalizer-3.4.0; colorama-0.4.6; idna-3.10; requests-2.32.3; urllib3-2.2.3;,,"certifi>=2017.4.17; charset-normalizer<4,>=2; colorama; idna<4,>=2.5; requests; urllib3<3,>=1.21.1;",2,169,2250,1004,1086,433,558,1,21,67,2,0,0,0,newfstatat -> newfstatat -> openat,fstat -> ioctl -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,0
3web.py-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, pgrep, filetop-bpfcc, tcpstates-bpfcc, gnome-system-mo","strace, opensnoop-bpfcc, StreamTrans, StreamT~ns, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, gnome-system-mo, pgrep","strace, StreamTrans, StreamT~ns, pip, sqldb:c~lite","gnome-system-mo, pgrep, pip, StreamTrans, sqldb:c~lite",3web.py-1.0.0;,,,2,105,844,731,604,85,303,2,92,283,25,79,9,70,newfstatat -> newfstatat -> openat,openat -> fstat -> getdents64,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,openat -> fstat -> getdents64 -> no-error -> no-fd,0
BeautifolSoup-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"wait4, vfork, getpid","gnome-system-mo, opensnoop-bpfcc, gvfs-udisks2-vo, filetop-bpfcc, pgrep","StreamTrans, strace, opensnoop-bpfcc, StreamT~ns, Classif~date","opensnoop-bpfcc, filetop-bpfcc, gnome-system-mo, pip, clear","StreamTrans, Classif~date, sqldb:c~lite, StreamT~ns, fwupd","gnome-system-mo, StreamTrans, clear, sqldb:c~lite, Indexed~",BeautifolSoup-1.0.0;,,,0,92,657,427,1289,144,261,2,129,544,36,0,0,0,newfstatat -> newfstatat -> openat,ioctl -> ioctl -> ioctl,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,0
BeautifoulSoup-1.0.0.tar.gz,ioctl,,"getrandom, uname",,,getpid,"opensnoop-bpfcc, tcpstates-bpfcc, filetop-bpfcc, pgrep, nautilus","opensnoop-bpfcc, strace, StreamTrans, StreamT~ns, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, gnome-system-mo","StreamTrans, strace, pip, StreamT~ns, opensnoop-bpfcc","pgrep, gnome-system-mo, pip, StreamTrans, sqldb:c~lite",BeautifoulSoup-1.0.0;,,,505,137,3795,2569,1289,666,2143,2,37,93,14,0,0,0,newfstatat -> newfstatat -> openat,lseek -> lseek -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,openat -> fstat -> getdents64 -> no-error -> no-fd,0
BeuatiflSoup-1.0.0.tar.gz,"ioctl, poll",,uname,,,getpid,"opensnoop-bpfcc, tcpstates-bpfcc, filetop-bpfcc, pgrep, systemd-logind","opensnoop-bpfcc, strace, StreamTrans, StreamT~ns, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, tcpstates-bpfcc, gnome-system-mo","StreamTrans, strace, StreamT~ns, pip, opensnoop-bpfcc","gnome-system-mo, pip, pgrep, sqldb:c~lite, StreamTrans",BeuatiflSoup-1.0.0;,,,8,124,1794,2366,1335,938,5374,0,0,0,0,0,0,0,read -> read -> poll,poll -> read -> read,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,lseek -> lseek -> lseek -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,read -> read -> poll -> no-error -> no-fd,0
Matplkotlib-1.0.0.tar.gz,"ioctl, poll",,"getrandom, uname",,geteuid,getpid,"opensnoop-bpfcc, pgrep, filetop-bpfcc, tcpstates-bpfcc, pip","opensnoop-bpfcc, strace, StreamTrans, http, dpkg","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, unattended-upgr","StreamTrans, dpkg, strace, http, unattended-upgr","pgrep, pip, gnome-system-mo, opensnoop-bpfcc, StreamTrans",Matplkotlib-1.0.0;,,,519,139,3796,3089,136,736,8899,0,0,0,0,0,0,0,newfstatat -> newfstatat -> openat,ioctl -> ioctl -> ioctl,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,0
Matploltlib-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, filetop-bpfcc, tcpstates-bpfcc, pgrep, pip","opensnoop-bpfcc, strace, StreamTrans, http, dpkg","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, tcpstates-bpfcc","dpkg, http, StreamTrans, strace, Classif~date","pgrep, pip, gnome-system-mo, opensnoop-bpfcc, StreamTrans",Matploltlib-1.0.0;,,,519,138,3797,2666,53,655,2824,1,19,204,2,0,0,0,lseek -> lseek -> lseek,newfstatat -> newfstatat -> openat,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,lseek -> lseek -> lseek -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,0
Matplotlob-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, pgrep, tcpstates-bpfcc, filetop-bpfcc, pip","opensnoop-bpfcc, strace, StreamTrans, pip, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, gnome-system-mo","opensnoop-bpfcc, StreamTrans, strace, pip, sqldb:c~lite","pgrep, pip, opensnoop-bpfcc, gnome-system-mo, StreamTrans",Matplotlob-1.0.0;,,,515,138,3796,2561,890,619,4191,4,30,62,15,0,0,0,newfstatat -> newfstatat -> openat,openat -> fstat -> getdents64,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,openat -> fstat -> getdents64 -> no-error -> no-fd,1
Matplotoib-1.0.0.tar.gz,,,,,,,"pgrep, opensnoop-bpfcc, filetop-bpfcc, pip, systemd-logind","opensnoop-bpfcc, pip, sqldb:c~lite, filetop-bpfcc, gnome-system-mo","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, gnome-system-mo","opensnoop-bpfcc, pip, sqldb:c~lite, filetop-bpfcc, gnome-system-mo","pgrep, pip, gnome-system-mo, opensnoop-bpfcc, filetop-bpfcc",Matplotoib-1.0.0;,,,515,138,3797,2774,1262,705,9576,3,127,505,30,0,0,0,read -> poll -> read,poll -> read -> read,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,read -> poll -> read -> error=EAGAIN -> no-fd,openat -> fstat -> fcntl -> no-error -> no-fd,1
Matpltotlib-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, filetop-bpfcc, tcpstates-bpfcc, pgrep, pip","opensnoop-bpfcc, strace, StreamTrans, pip, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, tcpstates-bpfcc","StreamTrans, opensnoop-bpfcc, strace, pip, sqldb:c~lite","pgrep, pip, opensnoop-bpfcc, gnome-system-mo, StreamTrans",Matpltotlib-1.0.0;,,,515,138,3798,2602,998,635,5653,2,387,475,69,0,0,0,clock_gettime -> poll -> read,poll -> read -> read,clock_gettime -> clock_gettime -> clock_gettime -> no-error -> no-fd,read -> read -> clock_gettime -> no-error -> no-fd,read -> clock_gettime -> poll -> error=EAGAIN -> no-fd,clock_gettime -> poll -> read -> no-error -> no-fd,lseek -> clock_gettime -> lseek -> no-error -> no-fd,0
