Package Name,Package Version,Installed 3.12,Installed 3.*,Prerequisites-1,Source Excel Row
1337test,1,True,False,,12
3web.py,1.0.0,True,False,,26
BeautifolSoup,1.0.0,True,False,,330
BeautifoulSoup,1.0.0,True,False,,331
BeuatiflSoup,1.0.0,True,False,,402
Matplkotlib,1.0.0,True,False,,2863
Matploltlib,1.0.0,True,False,,2871
Matplotlob,1.0.0,True,False,,2890
Matplotoib,1.0.0,True,False,,2896
Matpltotlib,1.0.0,True,False,,2909
PqTorch,1.0.0,True,False,,3529
PyGacme,1.0.0,True,False,,3985
PyToich,1.0.0,True,False,,4609
PyTorchc,1.0.0,True,False,,4631
PyTordh,1.0.0,True,False,,4641
Simpoejson,1.0.0,True,False,,5767
SpyWare,1.0.5,True,False,,5850
Web-requests-autmoation,3.0.0,True,False,,6823
admcheck2,1.7.0,True,False,,49
advenced-requests,3.0.0,True,False,,64
advpruebitaa9,1.0.0,True,False,,71
aeodatav04,0.4,True,False,urllib5,74
aidoc-consul,5.2.0,True,False,,77
aidoc-e2e-utils,5.0.3,True,False,,78
aio5,0.2.9,True,False,,85
aioconsol,1.0,True,False,,87
aioconsol,0.0,True,False,,88
antchain_sdk_acc,1.0.0,True,False,,163
antchain_sdk_acm,1.0.0,True,False,,165
antchain_sdk_dog,1.0.0,True,False,requests,177
antchain_sdk_ent,1.0.0,True,False,requests,180
antchain_sdk_mytc,1.0.0,True,False,requests,188
antchain_sdk_pcc,1.0.0,True,False,requests,191
antchain_sdk_rms,1.0.0,True,False,requests,193
apch,0.0.6,True,False,,203
ascii-chillah,99.0,True,False,,241
asn2crypto,4.5.2,True,False,requests,243
asynci,1.0.0,True,False,,256
asynncio,1.0.0,True,False,,265
awscl,1.27.67,True,False,,269
awsclie,1.27.67,True,False,,270
b2-sdk-python,1.8.0,True,False,requests,294
beautilfulsoup,1.0.0,True,False,,381
bip-util,1.0.0,True,False,,422
bip-utile,1.0.0,True,False,,424
bip-utisl,1.0.0,True,False,,429
botoo3,1.26.67,True,False,,481
brokescolors,0.0.0,True,False,,483
builderknower2,0.1.12,True,False,,502
builderknower2,0.1.13,True,False,,503
builderknower2,0.1.14,True,False,,504
builderknower2,0.1.15,True,False,,505
builderknower2,0.1.16,True,False,,506
builderknower2,0.1.17,True,False,,507
builderknower2,0.1.18,True,False,,508
builderknower2,0.1.19,True,False,,509
builderknower2,0.1.20,True,False,,510
builderknower2,0.1.21,True,False,,511
builderknower2,0.1.22,True,False,,512
builderknower2,0.1.23,True,False,,513
builderknower2,0.1.24,True,False,,514
builderknower2,0.1.25,True,False,,515
builderknower2,0.1.26,True,False,,516
builderknower2,0.1.27,True,False,,517
builderknower2,0.1.28,True,False,,518
builderknower2,0.1.29,True,False,,519
builderknower2,0.1.30,True,False,,520
capmonstercloudclieent,1.0.0,True,False,,592
capmonstercloudclienet,1.0.0,True,False,,597
capmonstercloudclinent,1.0.0,True,False,,602
capmonstercloudcluodclient,1.0.0,True,False,,605
capmonsterclouddclient,1.0.0,True,False,,606
capmonsterclouudclient,1.0.0,True,False,,609
capmonstercouldclient,1.0.0,True,False,,612
capmonsterrcloudclient,1.0.0,True,False,,613
capmostercloudclient,1.0.0,True,False,,618
cffy,1.15.1,True,False,,661
cloud_client,1.34,True,False,urllib3,692
coloramws,1.0.0,True,False,,751
colorram,1.0.0,True,False,,781
colorsama,0.4.5,True,False,,785
crypto-os,4.5.2,True,False,requests,921
cryptographz,1.0.0,True,False,,912
cryptograpyh,0.1,True,False,,913
cstmotkinter,1.0.0,True,False,,938
cusgtomtkinter,1.0.0,True,False,,949
custojmtkinter,1.0.0,True,False,,956
custoktkinter,1.0.0,True,False,,958
customkinter,1.0.0,True,False,,960
customtkibter,1.0.0,True,False,,966
customtkinber,1.0.0,True,False,,969
customtkintar,1.0.0,True,False,,975
