Package Name,Package Version,Install Environment,Installed Versions,Declared Prerequisite,Source Excel Row,Prerequisites-1,Env (Python 3.12),Installation Status,Env ( Python  3.*),Installation Status.1,Auto Status (Python 3.12),Remarks
1337test,1,Python 3.12,1,(none declared),12,,3.12,yes,-,,Successfully Installed,
3web.py,1.0.0,Python 3.12,1,(none declared),26,,3.12,yes,-,,Successfully Installed,
BeautifolSoup,1.0.0,Python 3.12,1,(none declared),330,,3.12,yes,-,,Successfully Installed,
BeautifoulSoup,1.0.0,Python 3.12,1,(none declared),331,,3.12,yes,-,,Successfully Installed,
BeuatiflSoup,1.0.0,Python 3.12,1,(none declared),402,,3.12,yes,-,,Successfully Installed,
Matplkotlib,1.0.0,Python 3.12,1,(none declared),2863,,3.12,yes,-,,Successfully Installed,
Matploltlib,1.0.0,Python 3.12,1,(none declared),2871,,3.12,yes,-,,Successfully Installed,
Matplotlob,1.0.0,Python 3.12,1,(none declared),2890,,3.12,yes,-,,Successfully Installed,
Matplotoib,1.0.0,Python 3.12,1,(none declared),2896,,3.12,yes,-,,Successfully Installed,
Matpltotlib,1.0.0,Python 3.12,1,(none declared),2909,,3.12,yes,-,,Successfully Installed,
PqTorch,1.0.0,Python 3.12,1,(none declared),3529,,3.12,yes,-,,Successfully Installed,
PyGacme,1.0.0,Python 3.12,1,(none declared),3985,,3.12,yes,-,,Successfully Installed,
PyToich,1.0.0,Python 3.12,1,(none declared),4609,,3.12,yes,-,,Successfully Installed,
PyTorchc,1.0.0,Python 3.12,1,(none declared),4631,,3.12,yes,-,,Successfully Installed,
PyTordh,1.0.0,Python 3.12,1,(none declared),4641,,3.12,yes,-,,Successfully Installed,
Simpoejson,1.0.0,Python 3.12,1,(none declared),5767,,3.12,yes,-,,Successfully Installed,
SpyWare,1.0.5,Python 3.12,1,(none declared),5850,,3.12,yes,-,,Successfully Installed,
Web-requests-autmoation,3.0.0,Python 3.12,1,(none declared),6823,,3.12,yes,-,,Successfully Installed,
admcheck2,1.7.0,Python 3.12,1,(none declared),49,,3.12,yes,-,,Successfully Installed,
advenced-requests,3.0.0,Python 3.12,1,(none declared),64,,3.12,yes,-,,Successfully Installed,
advpruebitaa9,1.0.0,Python 3.12,1,(none declared),71,,3.12,yes,-,,Successfully Installed,
aeodatav04,0.4,Python 3.12,1,urllib5,74,urllib5,3.12,yes,-,,Successfully Installed,
aidoc-consul,5.2.0,Python 3.12,1,(none declared),77,,3.12,yes,-,,Successfully Installed,
aidoc-e2e-utils,5.0.3,Python 3.12,1,(none declared),78,,3.12,yes,-,,Successfully Installed,
aio5,0.2.9,Python 3.12,1,(none declared),85,,3.12,yes,-,,Successfully Installed,
aioconsol,1.0,Python 3.12,2,(none declared),87,,3.12,yes,-,,Successfully Installed,
antchain_sdk_acc,1.0.0,Python 3.12,1,(none declared),163,,3.12,yes,-,,Successfully Installed,
antchain_sdk_acm,1.0.0,Python 3.12,1,(none declared),165,,3.12,yes,-,,Successfully Installed,
antchain_sdk_dog,1.0.0,Python 3.12,1,requests,177,requests,3.12,yes,-,,Successfully Installed,
antchain_sdk_ent,1.0.0,Python 3.12,1,requests,180,requests,3.12,yes,-,,Successfully Installed,
antchain_sdk_mytc,1.0.0,Python 3.12,1,requests,188,requests,3.12,yes,-,,Successfully Installed,
antchain_sdk_pcc,1.0.0,Python 3.12,1,requests,191,requests,3.12,yes,-,,Successfully Installed,
antchain_sdk_rms,1.0.0,Python 3.12,1,requests,193,requests,3.12,yes,-,,Successfully Installed,
apch,0.0.6,Python 3.12,1,(none declared),203,,3.12,yes,-,,Successfully Installed,
ascii-chillah,99.0,Python 3.12,1,(none declared),241,,3.12,yes,-,,Successfully Installed,
asn2crypto,4.5.2,Python 3.12,1,requests,243,requests,3.12,yes,-,,Successfully Installed,
asynci,1.0.0,Python 3.12,1,(none declared),256,,3.12,yes,-,,Successfully Installed,
asynncio,1.0.0,Python 3.12,1,(none declared),265,,3.12,yes,-,,Successfully Installed,
