model,attack_variant,input_type,run,detected_packages,n_malicious,tpr
original,none,unmodified,1,106,107,0.99065
original,none,unmodified,2,106,107,0.99065
original,none,unmodified,3,106,107,0.99065
original,none,unmodified,4,106,107,0.99065
original,none,unmodified,5,106,107,0.99065
original,none,unmodified,6,106,107,0.99065
original,none,unmodified,7,106,107,0.99065
original,none,unmodified,8,106,107,0.99065
original,none,unmodified,9,106,107,0.99065
original,none,unmodified,10,105,107,0.98131
original,std,padded,1,91,107,0.85047
original,std,padded,2,90,107,0.84112
original,std,padded,3,89,107,0.83178
original,std,padded,4,89,107,0.83178
original,std,padded,5,89,107,0.83178
original,std,padded,6,89,107,0.83178
original,std,padded,7,89,107,0.83178
original,std,padded,8,89,107,0.83178
original,std,padded,9,88,107,0.82243
original,std,padded,10,87,107,0.81308
adversarial,std,padded,1,103,107,0.96262
adversarial,std,padded,2,103,107,0.96262
adversarial,std,padded,3,103,107,0.96262
adversarial,std,padded,4,102,107,0.95327
adversarial,std,padded,5,102,107,0.95327
adversarial,std,padded,6,102,107,0.95327
adversarial,std,padded,7,102,107,0.95327
adversarial,std,padded,8,101,107,0.94393
adversarial,std,padded,9,101,107,0.94393
adversarial,std,padded,10,101,107,0.94393
adversarial,std,unmodified,1,106,107,0.99065
adversarial,std,unmodified,2,105,107,0.98131
adversarial,std,unmodified,3,105,107,0.98131
adversarial,std,unmodified,4,105,107,0.98131
adversarial,std,unmodified,5,105,107,0.98131
adversarial,std,unmodified,6,105,107,0.98131
adversarial,std,unmodified,7,105,107,0.98131
adversarial,std,unmodified,8,105,107,0.98131
adversarial,std,unmodified,9,105,107,0.98131
adversarial,std,unmodified,10,104,107,0.97196
original,third,padded,1,97,107,0.90654
original,third,padded,2,97,107,0.90654
original,third,padded,3,97,107,0.90654
original,third,padded,4,97,107,0.90654
original,third,padded,5,96,107,0.8972
original,third,padded,6,96,107,0.8972
original,third,padded,7,95,107,0.88785
original,third,padded,8,95,107,0.88785
original,third,padded,9,95,107,0.88785
original,third,padded,10,95,107,0.88785
adversarial,third,padded,1,105,107,0.98131
adversarial,third,padded,2,105,107,0.98131
adversarial,third,padded,3,104,107,0.97196
adversarial,third,padded,4,104,107,0.97196
adversarial,third,padded,5,104,107,0.97196
adversarial,third,padded,6,104,107,0.97196
adversarial,third,padded,7,104,107,0.97196
adversarial,third,padded,8,104,107,0.97196
adversarial,third,padded,9,103,107,0.96262
adversarial,third,padded,10,103,107,0.96262
adversarial,third,unmodified,1,106,107,0.99065
adversarial,third,unmodified,2,106,107,0.99065
adversarial,third,unmodified,3,105,107,0.98131
adversarial,third,unmodified,4,105,107,0.98131
adversarial,third,unmodified,5,105,107,0.98131
adversarial,third,unmodified,6,105,107,0.98131
adversarial,third,unmodified,7,105,107,0.98131
adversarial,third,unmodified,8,105,107,0.98131
adversarial,third,unmodified,9,105,107,0.98131
adversarial,third,unmodified,10,104,107,0.97196
original,comb,padded,1,94,107,0.8785
original,comb,padded,2,93,107,0.86916
original,comb,padded,3,93,107,0.86916
original,comb,padded,4,92,107,0.85981
original,comb,padded,5,92,107,0.85981
original,comb,padded,6,92,107,0.85981
original,comb,padded,7,92,107,0.85981
original,comb,padded,8,91,107,0.85047
original,comb,padded,9,91,107,0.85047
original,comb,padded,10,90,107,0.84112
adversarial,comb,padded,1,104,107,0.97196
adversarial,comb,padded,2,104,107,0.97196
adversarial,comb,padded,3,104,107,0.97196
adversarial,comb,padded,4,103,107,0.96262
adversarial,comb,padded,5,103,107,0.96262
adversarial,comb,padded,6,103,107,0.96262
adversarial,comb,padded,7,103,107,0.96262
adversarial,comb,padded,8,102,107,0.95327
adversarial,comb,padded,9,102,107,0.95327
adversarial,comb,padded,10,102,107,0.95327
adversarial,comb,unmodified,1,106,107,0.99065
adversarial,comb,unmodified,2,105,107,0.98131
adversarial,comb,unmodified,3,105,107,0.98131
adversarial,comb,unmodified,4,105,107,0.98131
adversarial,comb,unmodified,5,105,107,0.98131
adversarial,comb,unmodified,6,105,107,0.98131
adversarial,comb,unmodified,7,105,107,0.98131
adversarial,comb,unmodified,8,104,107,0.97196
adversarial,comb,unmodified,9,104,107,0.97196
adversarial,comb,unmodified,10,104,107,0.97196
