package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
1337x-1.2.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\1337x-1.2.6.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
3-py-1.1.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\3-py-1.1.6.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
3m-0.1.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\3m-0.1.3.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
5345345345345345-0.0.13,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\5345345345345345-0.0.13.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
a_n_plus_b-0.1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\a_n_plus_b-0.1.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
a_pandas_ex_split-0.10,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\a_pandas_ex_split-0.10.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
aadhaar-1.0.0.dev1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aadhaar-1.0.0.dev1.zip,zip,1,1,0,0,1,1,1,0,imports detected
absl-py-2.1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\absl-py-2.1.0.tar.gz,tar,1,1,0,0,4,5,2,2,imports detected
absplit-1.4.5,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\absplit-1.4.5.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
Acquisition-6.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Acquisition-6.0.tar.gz,tar,1,1,0,0,3,5,2,1,imports detected
actionai-0.0.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\actionai-0.0.7.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
activedetect-0.1.4.post2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\activedetect-0.1.4.post2.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
activereader-0.0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\activereader-0.0.2.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
adafruit-io-2.7.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adafruit-io-2.7.2.tar.gz,tar,1,1,0,0,5,5,3,2,imports detected
Adafruit_seesaw-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Adafruit_seesaw-1.0.tar.gz,tar,1,1,0,0,2,2,0,2,imports detected
