rank,module,category,package_count,package_share_percent,setup_file_count,total_occurrences,mean_occurrences_per_importing_package
1,setuptools,T: third-party/project-local/other,5077,91.77512653651482,5193,5711,1.124876895804609
2,os,S: standard library,1652,29.862617498192336,1691,1805,1.0926150121065374
3,distutils,S: standard library,798,14.425162689804772,826,1002,1.255639097744361
4,sys,S: standard library,711,12.852494577006508,736,746,1.049226441631505
5,re,S: standard library,413,7.465654374548084,419,420,1.0169491525423728
6,codecs,S: standard library,345,6.236442516268981,345,346,1.0028985507246377
7,pathlib,S: standard library,309,5.585683297180044,311,313,1.0129449838187703
8,io,S: standard library,239,4.3203181489515545,239,239,1.0
9,subprocess,S: standard library,161,2.9103398409255243,165,171,1.062111801242236
10,shutil,S: standard library,115,2.0788141720896602,116,116,1.008695652173913
11,__future__,S: standard library,114,2.0607375271149673,136,156,1.368421052631579
12,platform,S: standard library,88,1.5907447577729574,90,90,1.0227272727272727
13,glob,S: standard library,84,1.5184381778741864,85,87,1.0357142857142858
14,Cython,T: third-party/project-local/other,76,1.373825018076645,88,128,1.6842105263157894
15,pkg_resources,T: third-party/project-local/other,50,0.9038322487346349,50,52,1.04
16,numpy,T: third-party/project-local/other,50,0.9038322487346349,73,110,2.2
17,pytest,T: third-party/project-local/other,45,0.8134490238611713,46,46,1.0222222222222221
18,versioneer,T: third-party/project-local/other,40,0.7230657989877078,40,40,1.0
19,pypandoc,T: third-party/project-local/other,31,0.5603759942154736,31,32,1.032258064516129
20,ez_setup,T: third-party/project-local/other,30,0.5422993492407809,33,33,1.1
21,multiprocessing,S: standard library,29,0.5242227042660882,29,30,1.0344827586206897
22,shlex,S: standard library,27,0.4880694143167028,27,27,1.0
23,json,S: standard library,25,0.45191612436731743,27,27,1.08
24,tempfile,S: standard library,25,0.45191612436731743,25,25,1.0
25,ast,S: standard library,23,0.41576283441793205,23,25,1.0869565217391304
26,warnings,S: standard library,23,0.41576283441793205,23,23,1.0
27,wheel,T: third-party/project-local/other,23,0.41576283441793205,23,25,1.0869565217391304
28,contextlib,S: standard library,23,0.41576283441793205,23,23,1.0
