package_id,archive,archive_type,setup_member,setup_size_bytes,parser,unique_import_count,total_import_occurrences,imports
3-py-1.1.6,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\3-py-1.1.6.tar.gz,tar,3-py-1.1.6/setup.py,1342,ast,2,2,os; setuptools
5345345345345345-0.0.13,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\5345345345345345-0.0.13.tar.gz,tar,5345345345345345-0.0.13/setup.py,397,ast,3,3,codecs; os; setuptools
a_pandas_ex_split-0.10,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\a_pandas_ex_split-0.10.tar.gz,tar,a_pandas_ex_split-0.10/setup.py,1427,ast,3,3,codecs; os; setuptools
aadhaar-1.0.0.dev1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aadhaar-1.0.0.dev1.zip,zip,aadhaar-1.0.0.dev1/setup.py,308,ast,1,1,distutils
absl-py-2.1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\absl-py-2.1.0.tar.gz,tar,absl-py-2.1.0/setup.py,2672,ast,4,5,ez_setup; os; setuptools; sys
Acquisition-6.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Acquisition-6.0.tar.gz,tar,Acquisition-6.0/setup.py,2885,ast,3,5,os; platform; setuptools
actionai-0.0.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\actionai-0.0.7.tar.gz,tar,actionai-0.0.7/setup.py,3072,ast,1,1,setuptools
activedetect-0.1.4.post2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\activedetect-0.1.4.post2.tar.gz,tar,activedetect-0.1.4.post2/setup.py,713,ast,1,1,setuptools
activereader-0.0.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\activereader-0.0.2.tar.gz,tar,activereader-0.0.2/setup.py,1809,ast,2,2,os; setuptools
adafruit-io-2.7.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adafruit-io-2.7.2.tar.gz,tar,adafruit-io-2.7.2/setup.py,2246,ast,5,5,codecs; ez_setup; os; re; setuptools
Adafruit_seesaw-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Adafruit_seesaw-1.0.tar.gz,tar,Adafruit_seesaw-1.0/setup.py,1403,ast,2,2,ez_setup; setuptools
adal-1.2.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adal-1.2.7.tar.gz,tar,adal-1.2.7/setup.py,3220,ast,3,3,io; re; setuptools
adc-0.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adc-0.0.3.tar.gz,tar,adc-0.0.3/setup.py,3317,ast,3,3,setuptools; subprocess; time
adlib-1.2.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adlib-1.2.1.tar.gz,tar,adlib-1.2.1/setup.py,790,ast,1,1,setuptools
adm-0.1a0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adm-0.1a0.tar.gz,tar,adm-0.1a0/setup.py,2590,ast,3,3,distutils; os; sys
adminbypasser-2.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adminbypasser-2.0.1.tar.gz,tar,adminbypasser-2.0.1/setup.py,1209,ast,1,1,setuptools
advsecurenet-0.2.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\advsecurenet-0.2.3.tar.gz,tar,advsecurenet-0.2.3/setup.py,1058,ast,2,2,os; setuptools
