module,package_count,total_occurrences,kind
os,4711,5567,stdlib
distutils,3684,3695,3rd-party/other
subprocess,2981,3035,stdlib
setuptools,2814,4638,3rd-party/other
sys,1632,1683,stdlib
requests,1379,1444,3rd-party/other
random,1039,1033,stdlib
pip,910,910,3rd-party/other
win32com,909,936,3rd-party/other
fernet,745,748,3rd-party/other
base64,554,519,stdlib
socket,321,351,stdlib
urllib,321,382,stdlib
getpass,223,218,stdlib
time,216,218,stdlib
re,208,317,stdlib
codecs,205,175,stdlib
json,195,301,stdlib
shutil,192,205,stdlib
ctypes,146,168,stdlib
tempfile,145,146,stdlib
zipfile,134,168,stdlib
platform,122,110,stdlib
pathlib,111,111,stdlib
threading,109,110,stdlib
sqlite3,106,114,stdlib
Crypto,96,101,3rd-party/other
builtins,93,93,stdlib
multiprocessing,90,90,stdlib
pytest,71,71,3rd-party/other
urllib2,70,70,3rd-party/other
__future__,65,65,stdlib
hashlib,62,62,stdlib
datetime,50,46,stdlib
atexit,46,46,3rd-party/other
string,43,26,stdlib
io,42,42,stdlib
zlib,34,12,stdlib
uuid,32,31,stdlib
pty,31,28,stdlib
discord,22,38,3rd-party/other
stat,22,8,stdlib
git,21,21,3rd-party/other
struct,19,0,stdlib
site,19,19,3rd-party/other
fcntl,19,0,3rd-party/other
traceback,16,16,stdlib
dns,16,16,3rd-party/other
aiohttp,14,14,3rd-party/other
typing,13,13,stdlib
logging,13,13,stdlib
pre_install,12,12,3rd-party/other
psutil,12,22,3rd-party/other
http,11,11,stdlib
urllib3,10,11,3rd-party/other
pyaes,10,11,3rd-party/other
math,9,9,stdlib
netifaces,8,8,3rd-party/other
turtle,8,8,3rd-party/other
win32crypt,8,13,3rd-party/other
importantpackage,8,8,3rd-party/other
webbrowser,8,8,stdlib
asyncio,6,6,stdlib
secrets,6,6,stdlib
warnings,6,6,stdlib
ast,6,2,3rd-party/other
PIL,6,6,3rd-party/other
mss,6,6,3rd-party/other
locale,6,6,stdlib
pwd,5,5,stdlib
ssl,5,5,stdlib
wmi,5,5,3rd-party/other
glob,4,1,stdlib
binascii,4,4,stdlib
pyperclip,4,4,3rd-party/other
py2exe,3,3,3rd-party/other
unittest,3,3,3rd-party/other
BeautifulSoup,3,3,3rd-party/other
marshal,3,3,stdlib
winreg,3,4,stdlib
win32file,3,3,3rd-party/other
BeautifulSoupTests,2,2,3rd-party/other
lzma,2,0,stdlib
ctx,2,2,3rd-party/other
hmatch,2,2,3rd-party/other
signal,2,0,stdlib
dulwich,2,2,3rd-party/other
itertools,2,0,stdlib
bz2,2,0,stdlib
pytransform,2,2,3rd-party/other
contextlib,2,2,stdlib
inspect,2,2,stdlib
setup,2,2,3rd-party/other
grub2_theme_preview,2,2,3rd-party/other
telebot,1,1,3rd-party/other
ez_setup,1,1,3rd-party/other
judyb,1,2,3rd-party/other
shlex,1,1,stdlib
nmap,1,1,3rd-party/other
httpx,1,2,3rd-party/other
ntpath,1,1,3rd-party/other
doctest,1,1,3rd-party/other
tox,1,1,3rd-party/other
pytz3,1,1,3rd-party/other
pyarmor_runtime_000000,1,1,3rd-party/other
wget,1,1,3rd-party/other
